make_slug,style_name,occurrences
chevrolet,S-10 SHORT BED PICK-UP,3
chevrolet,S10,1
chevrolet,S10 P/U CREW CAB Reg/BOX 4WD,1
chevrolet,S15 LONG BOX,1
chevrolet,S15 SHORT BOX,1
chevrolet,SPECTRUM 2 DR,2
chevrolet,SPECTRUM 4 DR,2
chevrolet,SPECTRUM 4 DR SEDAN,1
chevrolet,SPORTVAN,3
chevrolet,SPRINT,2
chevrolet,SPRINT 2 DR HATCHBACK,2
chevrolet,SPRINT 4 DR HATCHBACK,2
chevrolet,SPRINT BASE/CL 2DR HATCHBACK,2
chevrolet,SPRINT BASE/CL 4DR HATCHBACK,2
chevrolet,SPRINT BASE/CL-2-DR,1
chevrolet,SPRINT BASE/CL-4-DR,1
chevrolet,SPRINT CONVERTIBLE,2
chevrolet,SPRINT TURBO 2DR,1
chevrolet,SPRINT TURBO 2DR HATCHBACK,2
chevrolet,V-10 LONG BED 4 X 4 PICK-UP,1
chevrolet,V-10 SHORT BED 4 X 4 PICK-UP,1
chevrolet,V30 BONUS/CREW CAB PU. 4X4,3
chevrolet,V3500 BONUS/CREW CAB P.U. 4X4,1
chevrolet,VAN LONG WB,1
chevrolet,WIDESIDE BONUS CREW CAB-K3500 OR K30,1
chevrolet,WIDESIDE BONUS GREW CAB K3500 OR 30,1
chevrolet,WIDESIDE C1500 OR C10,1
chevrolet,WIDESIDE C2500 OR C20,1
chevrolet,WIDESIDE C3500 OR C30,1
chevrolet,WIDESIDE CREW CAB-C3500 OR C30,1
chevrolet,WIDESIDE CREW-C2500 OR C20,1
chevrolet,WIDESIDE GREW C2500 OR C20,1
chevrolet,WIDESIDE GREW CAB C-3500 OR C30,1
chevrolet,WIDESIDE K1500 OR K10,2
chevrolet,WIDESIDE K2500 OR K20,1
chevrolet,WIDESIDE K3500 OR K30,1
chevrolet,WIDESIDE-C1500 OR C10,1
chevrolet,WIDESIDE-C2500 OR C20,1
chevrolet,WIDESIDE-C3500 OR 30,1
chevrolet,WIDESIDE-K1500 OR K10,2
chevrolet,WIDESIDE-K2500 OR K20,1
chevrolet,WIDESIDE-K3500 OR K30,1
chrysler,DATONA TURBO,3
chrysler,LIMOUSINE,4
datsun,2 WD DIESEL KING CAB,1
datsun,2 WD DIESEL LONG,1
datsun,2 WD DIESEL STD,1
datsun,2 WD HEAVY DUTY LONG,1
datsun,2 WD KING CAB,1
datsun,2 WD LONG BOX,1
datsun,2 WD STD,1
datsun,2+2 TURBO,1
datsun,200 SX 2 DR HARDTOP,1
datsun,200 SX CP,1
datsun,200 SX HB,1
datsun,200SX 2 DR HB,2
datsun,200SX 2 DR HD TOP,1
datsun,280 TURBO,1
datsun,4 WD KING CAB,1
datsun,4 WD LONG BOX,1
datsun,4 WD STD,1
datsun,4 X 4,1
datsun,720 PICKUP,1
datsun,720 PICKUP KING CAB 4 WD,1
datsun,720 PICKUP LONG CAB,1
datsun,810 MAXIMA,1
datsun,KING CAB,1
datsun,KING CAB 4 X 4,1
datsun,LONG BOX,1
datsun,LONG BOX 4 X 4,1
